dropout,seed,epoch,layer,stable_rank,test_acc
0.0,0,1,layer1,2.242627767930981,0.1445
0.0,0,1,layer2,2.444383800726267,0.1445
0.0,0,1,layer4,2.9353963358479582,0.1445
0.0,0,50,layer1,1.8860789443469195,0.5766
0.0,0,50,layer2,2.8839740102245996,0.5766
0.0,0,50,layer4,3.7100408691405242,0.5766
0.0,0,100,layer1,1.8603523787392433,0.7633
0.0,0,100,layer2,2.86233513475377,0.7633
0.0,0,100,layer4,3.845652001207755,0.7633
0.0,1,1,layer1,2.21285426898728,0.1357
0.0,1,1,layer2,2.2612014865007493,0.1357
0.0,1,1,layer4,2.5207118200627394,0.1357
0.0,1,50,layer1,2.378931286092933,0.5489
0.0,1,50,layer2,2.844437022407525,0.5489
0.0,1,50,layer4,3.695643571635122,0.5489
0.0,1,100,layer1,2.334737023034041,0.762
0.0,1,100,layer2,2.97803203009465,0.762
0.0,1,100,layer4,3.7728513949980655,0.762
0.0,2,1,layer1,2.292746983151882,0.1268
0.0,2,1,layer2,2.620822082522468,0.1268
0.0,2,1,layer4,2.883252734507817,0.1268
0.0,2,50,layer1,1.855442154311522,0.5732
0.0,2,50,layer2,2.777261373517381,0.5732
0.0,2,50,layer4,3.750445647132892,0.5732
0.0,2,100,layer1,1.864872369545646,0.7665
0.0,2,100,layer2,2.8509705619320966,0.7665
0.0,2,100,layer4,3.706863227320893,0.7665
0.0,3,1,layer1,2.0709585561177,0.1182
0.0,3,1,layer2,2.1558463303097444,0.1182
0.0,3,1,layer4,3.4182693041228718,0.1182
0.0,3,50,layer1,2.1436827896502115,0.5683
0.0,3,50,layer2,2.841794152213378,0.5683
0.0,3,50,layer4,3.8272982472407504,0.5683
0.0,3,100,layer1,2.1344508374455993,0.7611
0.0,3,100,layer2,2.8241364037410626,0.7611
0.0,3,100,layer4,3.8102748670266564,0.7611
0.0,4,1,layer1,2.201370209407745,0.108
0.0,4,1,layer2,2.522829179471425,0.108
0.0,4,1,layer4,3.0707082128495298,0.108
0.0,4,50,layer1,1.988308460831698,0.5237
0.0,4,50,layer2,2.831076756543352,0.5237
0.0,4,50,layer4,3.3745185552687835,0.5237
0.0,4,100,layer1,2.0217476303362347,0.76
0.0,4,100,layer2,2.877352988283904,0.76
0.0,4,100,layer4,3.842100927865787,0.76
0.0,5,1,layer1,2.352372713797064,0.142
0.0,5,1,layer2,1.9061769197318115,0.142
0.0,5,1,layer4,2.963797682259111,0.142
0.0,5,50,layer1,2.045738050782782,0.6069
0.0,5,50,layer2,3.1156470201765076,0.6069
0.0,5,50,layer4,3.8851526875978806,0.6069
0.0,5,100,layer1,2.0614891889555036,0.7596
0.0,5,100,layer2,3.1075550267663252,0.7596
0.0,5,100,layer4,3.7494832448176885,0.7596
0.0,6,1,layer1,2.2877574000300562,0.1388
0.0,6,1,layer2,2.388538524812744,0.1388
0.0,6,1,layer4,2.882729117819274,0.1388
0.0,6,50,layer1,2.3912698654613513,0.5762
0.0,6,50,layer2,3.014792759116984,0.5762
0.0,6,50,layer4,3.877154078022287,0.5762
0.0,6,100,layer1,2.323280985285963,0.7653
0.0,6,100,layer2,2.947809298131423,0.7653
0.0,6,100,layer4,3.8265083428871294,0.7653
0.0,7,1,layer1,2.4672935754783447,0.1329
0.0,7,1,layer2,1.8521397052447601,0.1329
0.0,7,1,layer4,3.1091240319979723,0.1329
0.0,7,50,layer1,2.341578344345465,0.5938
0.0,7,50,layer2,3.0269862043014353,0.5938
0.0,7,50,layer4,3.811999469107714,0.5938
