dropout,layer,mean,std
0.0,layer1,6.979501433192191,0.5331578117688007
0.0,layer2,7.397345920137176,0.9442420992017473
0.0,layer4,7.136203995182219,0.7493621150689779
0.1,layer1,7.057499721297094,0.5911635845834451
0.1,layer2,7.376051021214194,0.9808753705980083
0.1,layer4,7.106599884214531,0.7770694317041767
0.2,layer1,7.284311252474742,0.6975923297297141
0.2,layer2,7.471331212037507,0.929711101685531
0.2,layer4,7.12688205758453,0.78581296639901
0.3,layer1,7.183084627224914,0.6928288412004399
0.3,layer2,7.401012415593086,0.9552712477155909
0.3,layer4,7.071555228972815,0.8267931804081711
0.4,layer1,7.049652033519712,0.6292643525902214
0.4,layer2,7.421484936604924,0.9724090285120452
0.4,layer4,7.114316585326382,0.7923879921657413
0.5,layer1,6.935280272783657,0.5505890259410974
0.5,layer2,7.389751089689054,1.0739278505386172
0.5,layer4,7.057487278153232,0.915937143203771
